GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assign251_2,assign251_2,VelocityLayout,0,126,0,12,0,28,0,12,0,6
assign251_2,assign251_2,MemAppender,0,226,0,28,0,55,0,26,0,12
